1,FVIa,FVI SACA A,Caracas,Real Estate,Real Estate Operations,VES 22.87B,"1,482.6x",,VES 169.74,0.4%
2,TDVd,Nacional Telefonos de Venezuela,Caracas,Technology,Telecommunications Services,VES 10.15B,899.6x,,VES 12.95,-3.1%
3,MVZb,Mercantil Servicios Fin B,Caracas,Financials,Banking Services,VES 8.38B,6x,,VES 80,-0.3%
4,MVZa,Mercantil Servicios Fin A,Caracas,Financials,Banking Services,VES 8.28B,6.1x,,VES 79.04,-13.4%
5,RST,Ron Santa Teresa,Caracas,Consumer Non-Cyclicals,Beverages,VES 7.71B,,,VES 13.50,0.5%
6,BPV,Banco Provincial SA,Caracas,Financials,Banking Services,VES 7.40B,3.7x,,VES 5,-1.2%
7,BVL,Banco De Venezuela,Caracas,Financials,Banking Services,VES 5.84B,36.8x,,VES 16.45,-0.3%
8,CGQ,Corporacion Grupo Quimico,Caracas,Basic Materials,Chemicals,VES 4.56B,,,VES 50,0%
9,ABCa,Banco Caribe A,Caracas,Financials,Banking Services,VES 4.25B,-0x,,VES 25.56,-1.5%
10,ENV,Envases Venezolanos,Caracas,Basic Materials,Containers & Packaging,VES 2.89B,27.9x,-1.08,VES 22.79,-6.4%
11,FVIb,FVI SACA B,Caracas,Real Estate,Real Estate Operations,VES 1.99B,"1,482.6x",,VES 14.77,-10.2%
12,PTN,Protinal,Caracas,Consumer Non-Cyclicals,Food & Tobacco,VES 1.72B,,,VES 11.25,-0.6%
13,MPA,MANPA,Caracas,Basic Materials,Paper & Forest Products,VES 1.14B,,,VES 4.82,-1.6%
14,DOM,Dominguez Cia SA,Caracas,Basic Materials,Containers & Packaging,VES 962.02M,"126,745.2x",,VES 19.99,0%
15,GZL,Zuliano,Caracas,Basic Materials,Chemicals,VES 606.28M,-1.8x,-0.01,VES 25,0%
16,SVS,Sivensa,Caracas,Basic Materials,Metals & Mining,VES 472.72M,-12.1x,,VES 9,-4.2%
17,BVCC,Bolsa De Valores De Caracas,Caracas,Financials,Investment Banking & Investment Services,VES 99.87M,"4,152.8x",,VES 5,0%
18,CRMa,Corimon,Caracas,Basic Materials,Chemicals,VES 8.79M,"1,917.7x",,VES 11.25,-6.3%
