1,VCB,Vietcombank,Ho Chi Minh,Financials,Banking Services,₫495.75T,16x,2.75,"₫88,600",1.1%
2,BID,Bank for Investment and Development,Ho Chi Minh,Financials,Banking Services,₫271.34T,13.4x,0.88,"₫47,600",2%
3,FPT,FPT Corp,Ho Chi Minh,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₫191.03T,29x,1.25,"₫130,700",1.5%
4,GAS,Petrovietnam Gas JSCrp,Ho Chi Minh,Energy,Oil & Gas,₫189.71T,24.7x,-0.46,"₫82,500",1.6%
5,CTG,Vietnam Joint Stock Commercial Bank,Ho Chi Minh,Financials,Banking Services,₫173.72T,8.6x,0.25,"₫32,250",1.3%
6,VHM,Vinhomes,Ho Chi Minh,Real Estate,Real Estate Operations,₫167.43T,7.1x,-0.14,"₫38,450",1.6%
7,HPG,Hoa Phat Group JSC,Ho Chi Minh,Basic Materials,Metals & Mining,₫163.74T,15.1x,0.02,"₫25,600",1.6%
8,VNM,Vinamilk,Ho Chi Minh,Consumer Non-Cyclicals,Food & Tobacco,₫154.24T,17.8x,1,"₫73,700",-0.1%
9,VIC,Vingroup JSC,Ho Chi Minh,Real Estate,Real Estate Operations,₫154.19T,41x,-1.24,"₫41,350",1.4%
10,TCB,Techcombank,Ho Chi Minh,Financials,Banking Services,₫151.47T,7.1x,0.34,"₫21,450",1.4%
11,VPB,Vietnam Prosperity,Ho Chi Minh,Financials,Banking Services,₫144.79T,12x,-1.03,"₫18,250",1.4%
12,MBB,Military Commercial Bank,Ho Chi Minh,Financials,Banking Services,₫127.15T,5.9x,0.22,"₫24,050",3.4%
13,MSN,Masan Group Corp,Ho Chi Minh,Consumer Non-Cyclicals,Food & Tobacco,₫111.04T,156.6x,-3.27,"₫77,300",3.1%
14,ACB,ACB,Ho Chi Minh,Financials,Banking Services,₫106.98T,6.7x,0.53,"₫24,000",2.1%
15,MWG,Mobile World Investment Corp,Ho Chi Minh,Consumer Cyclicals,Specialty Retailers,₫101.02T,45.4x,1.02,"₫69,000",4.7%
16,GVR,Vietnam Rubber,Ho Chi Minh,Consumer Cyclicals,Automobiles & Auto Parts,₫96.66T,16.3x,,"₫34,700",6.3%
17,LPB,Fortune Vietnam Joint Stock Commercial Bank,Ho Chi Minh,Financials,Banking Services,₫76.73T,11.1x,0.39,"₫30,050",2.2%
18,HDB,Ho Chi Minh City Develop,Ho Chi Minh,Financials,Banking Services,₫76.07T,6.3x,0.12,"₫26,350",0.8%
19,BCM,Investment and Industrial Development,Ho Chi Minh,Real Estate,Real Estate Operations,₫74.83T,27.3x,,"₫72,100",1.8%
20,SAB,Saigon Beer Alcohol Beverage,Ho Chi Minh,Consumer Non-Cyclicals,Beverages,₫72.08T,17.3x,-2.72,"₫56,200",0.9%
21,PLX,Vietnam National Petro,Ho Chi Minh,Energy,Oil & Gas,₫64.93T,22.3x,-3.58,"₫51,000",4.1%
22,VJC,Vietjet Aviation,Ho Chi Minh,Industrials,Passenger Transportation Services,₫55.84T,46.1x,0.29,"₫103,400",0.6%
23,STB,Sai Gon Thuong Tin Commercial,Ho Chi Minh,Financials,Banking Services,₫55.33T,6.3x,0.49,"₫29,300",1.2%
24,SSB,Southeast Asia Commercial Joint Stock Bank,Ho Chi Minh,Financials,Banking Services,₫53.78T,14.9x,-1.98,"₫21,550",0%
25,VIB,Viet Nam International Commercial Joint Stock Bank,Ho Chi Minh,Financials,Banking Services,₫53.65T,7x,-1.99,"₫21,150",1.7%
26,SSI,SSI Securities,Ho Chi Minh,Financials,Investment Banking & Investment Services,₫48.97T,17.3x,0.18,"₫32,500",5.2%
27,HVN,Vietnam Airlines,Ho Chi Minh,Industrials,Passenger Transportation Services,₫44.95T,49.2x,0.44,"₫21,100",3.9%
28,DGC,Ducgiang Chemicals Detergent Powder,Ho Chi Minh,Basic Materials,Chemicals,₫42.04T,14.8x,-0.53,"₫111,100",4.3%
29,VRE,Vincom Retail,Ho Chi Minh,Real Estate,Real Estate Operations,₫41.7T,9.3x,0.39,"₫18,300",2.8%
30,TPB,Tien Phong Commercial,Ho Chi Minh,Financials,Banking Services,₫38.42T,8.1x,-0.4,"₫17,500",2.3%
31,KDH,Khang Dien House Trading Invest,Ho Chi Minh,Real Estate,Real Estate Operations,₫33.83T,52.5x,-1.56,"₫37,050",4.4%
32,REE,Refrigeration Electrical Engineerin,Ho Chi Minh,Utilities,Electrical Utilities & IPPs,₫32.92T,18.3x,-0.55,"₫69,800",3.4%
33,PNJ,Phu Nhuan Jewelry JSC,Ho Chi Minh,Consumer Cyclicals,Textiles & Apparel,₫32.79T,17.2x,1.67,"₫98,000",1.1%
34,SHB,Sai Gon Ha Noi Commercial,Ho Chi Minh,Financials,Banking Services,₫32.66T,4.9x,,"₫10,600",1.9%
35,BVH,BaoViet Holdings,Ho Chi Minh,Financials,Insurance,₫32.37T,17.4x,1.7,"₫43,750",2.3%
36,EIB,Vietnam Export Import Commercial,Ho Chi Minh,Financials,Banking Services,₫32.29T,14.6x,-2.61,"₫18,550",1.4%
37,POW,Petrovietnam Power,Ho Chi Minh,Utilities,Electrical Utilities & IPPs,₫31.62T,29.9x,-1.19,"₫13,550",3.8%
38,OCB,Orient Commercial Joint Stock Bank,Ho Chi Minh,Financials,Banking Services,₫29.59T,9.5x,-1.62,"₫14,550",1%
39,MSB,Vietnam Maritime Commercial Joint Stock Bank,Ho Chi Minh,Financials,Banking Services,₫28.9T,6.3x,4.87,"₫14,600",1%
40,GMD,Gemadept Corp,Ho Chi Minh,Industrials,Transport Infrastructure,₫24.81T,20.8x,-0.43,"₫80,000",1%
41,PGV,Power Generation,Ho Chi Minh,Utilities,Electrical Utilities & IPPs,₫24.6T,23.1x,-0.43,"₫22,000",1.9%
42,FRT,FPT Digital,Ho Chi Minh,Consumer Cyclicals,Specialty Retailers,₫23.77T,-78.8x,0.33,"₫174,500",1.3%
43,NVL,No Va Land Invest,Ho Chi Minh,Real Estate,Real Estate Operations,₫23.21T,11.6x,0.03,"₫11,900",6.3%
44,VND,VNDIRECT Securities,Ho Chi Minh,Financials,Investment Banking & Investment Services,₫22.83T,7.9x,0.03,"₫15,100",6%
45,NAB,Nam A Commercial Joint Stock Bank,Ho Chi Minh,,,₫22.02T,,,"₫16,750",0.6%
46,VCI,Viet Capital,Ho Chi Minh,Financials,Investment Banking & Investment Services,₫20.66T,26.5x,0.2,"₫46,800",5.5%
47,KBC,Kinh Bac City Development Share,Ho Chi Minh,Real Estate,Real Estate Operations,₫20.34T,77x,-0.8,"₫26,600",6.8%
48,IDC,Idico Corporation JSC,Hanoi,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₫19.9T,10.7x,0.07,"₫60,300",2.2%
49,DCM,Petrovietnam Camau Fertilizer,Ho Chi Minh,Basic Materials,Chemicals,₫19.69T,14.9x,-0.41,"₫37,200",3.9%
50,HCM,Ho Chi Minh City Securities Corp,Ho Chi Minh,Financials,Investment Banking & Investment Services,₫19.11T,19.3x,0.53,"₫27,150",6.5%
51,PVS,Petrovietnam Technical Services,Hanoi,Energy,Oil & Gas Related Equipment and Services,₫18.88T,23.1x,-2.24,"₫39,500",2.1%
52,GEX,Gelex JSC,Ho Chi Minh,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",₫18.22T,16.6x,0.05,"₫21,350",3.1%
53,VGC,Viglacera,Ho Chi Minh,Consumer Cyclicals,Homebuilding & Construction Supplies,₫18.07T,23.1x,-0.88,"₫43,100",6.9%
54,VPI,Van Phu,Ho Chi Minh,Real Estate,Real Estate Operations,₫16.84T,92.2x,-1.22,"₫58,000",0.7%
55,PDR,Phat Dat Real Estate Development,Ho Chi Minh,Real Estate,Real Estate Operations,₫16.42T,28.3x,-0.79,"₫18,800",6.8%
56,VHC,Vinh Hoan Corp,Ho Chi Minh,Consumer Non-Cyclicals,Food & Tobacco,₫16.16T,21.3x,-0.52,"₫72,100",2.4%
57,KDC,Kido,Ho Chi Minh,Consumer Non-Cyclicals,Food & Tobacco,₫15.74T,-32.5x,0.23,"₫54,400",-0.2%
58,HUT,HUD - TASCO,Hanoi,Industrials,Construction & Engineering,₫15.53T,214.3x,-28.29,"₫17,400",3%
59,NLG,Nam Long Investment Corp,Ho Chi Minh,Real Estate,Real Estate Operations,₫15.24T,37.9x,-1.12,"₫39,600",6.3%
60,PVD,PetroVietnam Drilling Well Services,Ho Chi Minh,Energy,Oil & Gas Related Equipment and Services,₫15.18T,"735,140x",0.01,"₫27,250",3.2%
61,SIP,Sai Gon Vrg Investment,Ho Chi Minh,,,₫14.68T,19.5x,,"₫72,700",3.6%
62,CTR,Viettel Construction,Ho Chi Minh,Industrials,Construction & Engineering,₫14.49T,13.1x,,"₫126,600",5.8%
63,DIG,Development Investment Construction,Ho Chi Minh,Real Estate,Real Estate Operations,₫14.48T,375.4x,-6.79,"₫23,750",7%
64,DPM,PetroVietnam Fertilizer Chemical,Ho Chi Minh,Basic Materials,Chemicals,₫14.48T,28.7x,-0.34,"₫37,000",2.8%
65,DHG,DHG Pharmaceutical JSC,Ho Chi Minh,Healthcare,Pharmaceuticals,₫13.83T,17x,-0.69,"₫105,600",0.1%
66,THD,Thaiholdings JSC,Hanoi,Basic Materials,Construction Materials,₫13.59T,97.4x,-2.52,"₫35,400",0.3%
67,FTS,FPT Securities,Ho Chi Minh,Financials,Investment Banking & Investment Services,₫13.28T,26.4x,0.58,"₫43,400",6.9%
68,SHS,SHS,Hanoi,Financials,Investment Banking & Investment Services,₫13.17T,11.9x,0.07,"₫16,200",6.6%
69,VCG,VINACONEX,Ho Chi Minh,Industrials,Construction & Engineering,₫12.77T,14.1x,0.07,"₫19,050",3%
70,HSG,Hoasen Group,Ho Chi Minh,Basic Materials,Metals & Mining,₫12.54T,11x,0.06,"₫20,350",3.8%
71,PVI,PVI Holdings,Hanoi,Financials,Insurance,₫12.3T,11.9x,2.46,"₫52,500",1.9%
72,VSH,Vinh Son Song Hinh Hydropower JSC,Ho Chi Minh,Utilities,Electrical Utilities & IPPs,₫12.17T,37.4x,-0.5,"₫49,800",-3.9%
73,KSF,Real Tech JSC,Hanoi,Real Estate,Real Estate Operations,₫12.09T,26.9x,0.67,"₫40,500",0.5%
74,TCH,Hoang Huy Investment,Ho Chi Minh,Real Estate,Real Estate Operations,₫12.09T,15.6x,0.08,"₫18,100",6.2%
75,MBS,MB Securities,Hanoi,Financials,Investment Banking & Investment Services,₫11.9T,16.7x,0.25,"₫27,200",7.1%
76,LGC,CII Bridges and Roads Investment,Ho Chi Minh,Industrials,Transport Infrastructure,₫11.28T,11.7x,0.04,"₫58,500",0%
77,BSI,BIDV Securities JSC,Ho Chi Minh,Financials,Investment Banking & Investment Services,₫11.18T,22.8x,0.13,"₫50,100",6.9%
78,HAG,Hoang Anh Gia Lai JSC,Ho Chi Minh,Consumer Non-Cyclicals,Food & Tobacco,₫11.05T,5.6x,0.08,"₫10,500",4.5%
79,BAB,Bac A Commercial Joint Stock Bank,Hanoi,Financials,Banking Services,₫10.66T,13.1x,,"₫11,900",0.9%
80,VCS,Vicostone JSC,Hanoi,Consumer Cyclicals,Homebuilding & Construction Supplies,₫10.58T,12.3x,1.04,"₫66,100",4.3%
81,PVT,PetroVietnam Transportation Corp,Ho Chi Minh,Energy,Oil & Gas Related Equipment and Services,₫10.29T,10.8x,4.13,"₫28,900",4%
82,KSV,Vinacomin Minerals,Hanoi,Basic Materials,Metals & Mining,₫10.28T,15x,0.05,"₫50,600",-1.6%
83,DXG,Dat Xanh Real Estate Service Contr,Ho Chi Minh,Real Estate,Real Estate Operations,₫10.16T,54.5x,0.26,"₫14,100",6.8%
84,DGW,Digiworld,Ho Chi Minh,Consumer Cyclicals,Specialty Retailers,₫10.16T,26.6x,-1.06,"₫60,900",3.6%
85,NTP,Tien Phong Plastic JSC,Hanoi,Consumer Cyclicals,Homebuilding & Construction Supplies,₫10.11T,16.7x,0.2,"₫70,900",9.9%
86,CMG,CMC Corp,Ho Chi Minh,Technology,Software & IT Services,₫9.94T,34.4x,3.13,"₫52,100",4.7%
87,BWE,Binh Duong Water,Ho Chi Minh,Utilities,Water & Related Utilities,₫9.73T,17.5x,-2.79,"₫44,200",4.6%
88,VIX,VIX Securities JSC,Ho Chi Minh,Financials,Investment Banking & Investment Services,₫9.56T,20.9x,,"₫11,900",6.3%
89,SBT,Thanh Thanh Cong Tay Ninh,Ho Chi Minh,Consumer Non-Cyclicals,Food & Tobacco,₫9.44T,15.8x,0.36,"₫12,700",0.4%
90,HDG,Ha Do Group JSC,Ho Chi Minh,Real Estate,Real Estate Operations,₫9.43T,15.1x,,"₫28,050",6.9%
91,BHN,Hanoi Beer Alcohol,Ho Chi Minh,Consumer Non-Cyclicals,Beverages,₫9.13T,31.3x,-1.32,"₫39,400",0%
92,PC1,PC1 JSC,Ho Chi Minh,Industrials,Construction & Engineering,₫9.02T,35.6x,14.23,"₫29,050",3.8%
93,DTK,Vinacomin Power,Hanoi,Utilities,Electrical Utilities & IPPs,₫8.88T,15.5x,-1.32,"₫13,000",4%
94,VTP,Viettel Post Joint Stock,Ho Chi Minh,,,₫8.72T,,,"₫76,000",6.2%
95,KOS,Kosy,Ho Chi Minh,Real Estate,Real Estate Operations,₫8.57T,360.9x,4.97,"₫39,600",0.1%
96,BMP,Binh Minh Plastics JSC,Ho Chi Minh,Consumer Cyclicals,Homebuilding & Construction Supplies,₫8.36T,8.9x,-1.34,"₫102,100",5.5%
97,EVF,EVN Finance,Ho Chi Minh,Financials,Banking Services,₫8.35T,15.1x,,"₫11,850",6.8%
98,CEO,CEO Group JSC,Hanoi,Real Estate,Real Estate Operations,₫8.16T,50.7x,-0.65,"₫15,100",9.4%
99,SCS,Sai Gon Cargo,Ho Chi Minh,Industrials,Transport Infrastructure,₫8.03T,15.1x,1.5,"₫84,600",1.6%
