1,CECZ,Copperbelt Energy,Zambia,Utilities,Electrical Utilities & IPPs,ZMW 18.48B,3.6x,0.03,ZMW 11.37,0%
2,ZSUG,Zambia Sugar,Zambia,Consumer Non-Cyclicals,Food & Tobacco,ZMW 11.08B,11.8x,-1.71,ZMW 35,0%
3,ZNCO,Zambia National Commercial Bank,Zambia,Financials,Banking Services,ZMW 8.66B,5.2x,0.1,ZMW 6,0%
4,SCBL,Standard Chartered Bank Zambia,Zambia,Financials,Banking Services,ZMW 5.15B,9.7x,0.06,ZMW 3.10,0.3%
5,ATEL,Airtel Networks Zambia,Zambia,Technology,Telecommunications Services,ZMW 4.52B,3.8x,0.16,ZMW 43.50,0%
6,ZABR,Zambian Breweries,Zambia,Consumer Non-Cyclicals,Beverages,ZMW 3.82B,-7.1x,0.01,ZMW 7,0%
7,CHIL,Chilanga Cement,Zambia,Basic Materials,Construction Materials,ZMW 3.50B,7.6x,0.21,ZMW 17.50,2.9%
8,PUMA,Puma Energy Zambia,Zambia,Energy,Oil & Gas,ZMW 2.79B,7.3x,1.06,ZMW 5.50,0%
9,ZFCO,Zambia Forestry Forest Industries,Zambia,Basic Materials,Paper & Forest Products,ZMW 1.01B,0.7x,-0.02,ZMW 2.53,0%
10,CCAF,CEC Africa,Zambia,Utilities,Electrical Utilities & IPPs,ZMW 975M,-1.4x,,ZMW 0.60,0%
11,AELZ,African Explosives Zambia,Zambia,Basic Materials,Chemicals,ZMW 775.04M,-25.6x,0.1,ZMW 37.98,-5.1%
12,BATZ,British American Tobacco,Zambia,Consumer Non-Cyclicals,Food & Tobacco,ZMW 637.37M,4.7x,0.49,ZMW 3,0%
13,PMDZ,Pamodzi Hotels,Zambia,Consumer Cyclicals,Hotels & Entertainment Services,ZMW 462M,41.8x,1.89,ZMW 4.62,0%
14,REIZ,RE Investments Zambia,Zambia,Real Estate,Real Estate Operations,ZMW 425.54M,1.9x,,ZMW 1.98,0%
15,BATA,Zambia Bata Shoe,Zambia,Consumer Cyclicals,Textiles & Apparel,ZMW 380.54M,8.8x,1.37,ZMW 5,0%
16,NATB,National Breweries,Zambia,Consumer Non-Cyclicals,Beverages,ZMW 258.30M,-0.5x,0,ZMW 4.10,0%
17,ZMFA,Metal Fabricators Of Zambia Plc,Zambia,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",ZMW 135.72M,1.6x,0,ZMW 5.01,0%
18,PRIM,Zambia Reinsurance,Zambia,Financials,Insurance,ZMW 126M,8.1x,0.02,ZMW 2.80,0%
19,MAFS,Madison Financial Services,Zambia,,,ZMW 91.50M,-11.7x,,ZMW 1.83,0%
